0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,P.Hóa Kị: Cung Phụ Mẫu,,,,,P.Hóa Kị: Cung Phụ Mẫu,,,,,P.Hóa Kị: Cung Phụ Mẫu,,,,,P.Hóa Kị: Cung Phụ Mẫu,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,năm Mão,,TRƯỜNG SINH,,THÁNG 5,năm Mão,,TRƯỜNG SINH,,THÁNG 5,năm Mão,,TRƯỜNG SINH,,THÁNG 5,năm Mão,,TRƯỜNG SINH,,THÁNG 5
,,,,,,,,,,Tuần,,,,,,,,,,
,T. TỴ,,,,65,,,,,,,,,,,T. TỴ,,,,65
,HỎA (-),,THIÊN DI,,,Họ Tên:,Nguyễn Ngọc Anh,,,,,Theo Đại Vận,,,,HỎA (-),,THIÊN DI,,
,,,THIÊN LƯƠNG,,,Giờ Sinh: ,Hợi,,,,,Lưu ĐVMệnh,Cung Huynh Đệ,"L.ĐVHóa Khoa, L.ĐVĐào Hoa",,,,THIÊN LƯƠNG,,
,Thiên Hình,,,Đà La,,Phạm Giờ: ,Quan Quả,Bàng Giờ,,,,Lưu ĐVPhụ Mẫu,Cung Thê Thiếp,,,Thiên Hình,,,Đà La,
,Thai Phụ,,,Quả Tú,,Năm :,1980,,Canh Thân,Thạch Lựu Mộc: Gỗ Cây Lựu,,Lưu ĐVPhúc Đức,Cung Tử Tức,"L.ĐVHóa Lộc, L.ĐVThiên Khôi",,Thai Phụ,,,Quả Tú,
,Thiên Đức,,,L. Đà La(H),,Tháng :,10,9,Bính Tuất,,,Lưu ĐVĐiền Trạch,Cung Tài Bạch,,,Thiên Đức,,,L. Đà La(H),
,Phúc Đức,,,L.Kình Dương(H),,Ngày :,23,15,Kỷ Tỵ,,,Lưu ĐVQuan Lộc,Cung Tật Ách,,,Phúc Đức,,,L.Kình Dương(H),
,L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H),Giờ :,21:50:00,,Ất Hợi,,,Lưu ĐVNô Bộc,Cung Thiên Di,,,L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H)
,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan,Năm xem:,2026,,Bính Ngọ,Thiên Hà Thủy: Nước Trên Trời,,Lưu ĐVThiên Di,Cung Nô Bộc,,,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan
,,,P.Hóa Khoa: Cung Thiên Di,,,Tuổi Năm Xem,,,47 Tuổi,G.Thân       (Cung Tử Tức),,Lưu ĐVTật Ách,Cung Quan Lộc,"L.ĐVKình Dương, L.ĐVĐại Hao",,,,P.Hóa Khoa: Cung Thiên Di,,
,,,P.Hóa Kị: Cung Phụ Mẫu,,,Âm Dương:,Dương Nam,,,,,Lưu ĐVTài Bạch,Cung Điền Trạch,,,,,P.Hóa Kị: Cung Phụ Mẫu,,
,,,,,,,Âm Dương nghịch lý,,,,,Lưu ĐVTử Tức,Cung Phúc Đức,,,,,,,
,,,,,,Mệnh:,Thạch Lựu Mộc,,,,,Lưu ĐVThê Thiếp,Cung Phụ Mẫu,"L. ĐVThiên Mã, L.ĐVThiên Hỷ",,,,,,
,,,,,,Cục:,Thổ Ngũ Cục,,,,,Lưu ĐVHuynh Đệ,Cung Mệnh,,,,,,,
,,,,,,,Mệnh Khắc Cục,,,,,,,,,,,,,
,,,,,,,Thân Cư Thê,,,,,Theo Tiểu Hạn,,,,,,,,
,,,,,,Mệnh Chủ:,Cự Môn,,,,,Lưu Mệnh,Cung Huynh Đệ,"L.Hóa Khoa, L.Đào Hoa",,,,,,
,,,,,,Thân Chủ:,Thiên Lương,,,,,Lưu Phụ Mẫu,Cung Thê Thiếp,,,,,,,
,,,,,,Lai Nhân Cung:,Cung Nô Bộc,,,,,Lưu Phúc Đức,Cung Tử Tức,"L.Hóa Lộc, L Thiên Khôi",,,,,,
,,,,,,Tuổi Đại Vận:,,,45,K.Mão (Cung Quan Lộc),,Lưu Điền Trạch,Cung Tài Bạch,,,,,,,
,,,,,,Sao Hạn Năm Xem:,Thổ Tú - Hành Thổ,,,,,Lưu Quan Lộc,Cung Tật Ách,,,,,,,
,,,,,,,,,,,,Lưu Nô Bộc,Cung Thiên Di,,,,,,,
,,,,,,Tứ Hóa Cố ĐỊnh,Năm Xem(2026) Bính Ngọ,Đại Vận(45 tuổi) Kỷ Mão,,,,Lưu Thiên Di,Cung Nô Bộc,,,,,,,
,năm Mão,,TRƯỜNG SINH,,THÁNG 5,Hóa Quyền,Thiên Cơ,Tham Lang,,,,Lưu Tật Ách,Cung Quan Lộc,"L.Kình Dương, L.Đại Hao",,năm Mão,,TRƯỜNG SINH,,THÁNG 5
,,,,,,Hóa Khoa,Văn Xương,Thiên Lương,,,,Lưu Tài Bạch,Cung Điền Trạch,,,,,,,
,T. TỴ,,,,65,Hóa Lộc,Thiên Đồng,Vũ Khúc,,,,Lưu Tử Tức,Cung Phúc Đức,,,T. TỴ,,,,65
,HỎA (-),,THIÊN DI,,,Hóa Kỵ,Liêm Trinh,Văn Khúc,,,,Lưu Thê Thiếp,Cung Phụ Mẫu,"L. Thiên Mã, L.Thiên Hỷ",,HỎA (-),,THIÊN DI,,
,,,THIÊN LƯƠNG,,,,,,,,,Lưu Huynh Đệ,Cung Mệnh,,,,,THIÊN LƯƠNG,,
,Thiên Hình,,,Đà La,,,,,,,,,,,,Thiên Hình,,,Đà La,
,Thai Phụ,,,Quả Tú,,,,,,,,,,,,Thai Phụ,,,Quả Tú,
,Thiên Đức,,,L. Đà La(H),,,,,,,,,,,,Thiên Đức,,,L. Đà La(H),
,Phúc Đức,,,L.Kình Dương(H),,,,,,,,,,,,Phúc Đức,,,L.Kình Dương(H),
,L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H),,,,,,,,,,,L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H)
,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan,,,,,,,,,,,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan
,,,P.Hóa Khoa: Cung Thiên Di,,,,,,,,,,,,,,,P.Hóa Khoa: Cung Thiên Di,,
,,,P.Hóa Kị: Cung Phụ Mẫu,,,,,,,,,,,,,,,P.Hóa Kị: Cung Phụ Mẫu,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,năm Mão,,TRƯỜNG SINH,,THÁNG 5,,,,,,,,,,,năm Mão,,TRƯỜNG SINH,,THÁNG 5
,,,,,,,,,,Triệt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,T. TỴ,,,,65,T. TỴ,,,,65,T. TỴ,,,,65,T. TỴ,,,,65
,HỎA (-),,THIÊN DI,,,HỎA (-),,THIÊN DI,,,HỎA (-),,THIÊN DI,,,HỎA (-),,THIÊN DI,,
,,,THIÊN LƯƠNG,,,,,THIÊN LƯƠNG,,,,,THIÊN LƯƠNG,,,,,THIÊN LƯƠNG,,
,Thiên Hình,,,Đà La,,Thiên Hình,,,Đà La,,Thiên Hình,,,Đà La,,Thiên Hình,,,Đà La,
,Thai Phụ,,,Quả Tú,,Thai Phụ,,,Quả Tú,,Thai Phụ,,,Quả Tú,,Thai Phụ,,,Quả Tú,
,Thiên Đức,,,L. Đà La(H),,Thiên Đức,,,L. Đà La(H),,Thiên Đức,,,L. Đà La(H),,Thiên Đức,,,L. Đà La(H),
,Phúc Đức,,,L.Kình Dương(H),,Phúc Đức,,,L.Kình Dương(H),,Phúc Đức,,,L.Kình Dương(H),,Phúc Đức,,,L.Kình Dương(H),
,L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền:Cung Điền Trạch,,L. ĐVKình Dương(H),L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H),L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H),L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H)
,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan
,,,P.Hóa Khoa: Cung Thiên Di,,,,,P.Hóa Khoa: Cung Thiên Di,,,,,P.Hóa Khoa: Cung Thiên Di,,,,,P.Hóa Khoa: Cung Thiên Di,,
,,,P.Hóa Kị: Cung Phụ Mẫu,,,,,P.Hóa Kị: Cung Phụ Mẫu,,,,,P.Hóa Kị: Cung Phụ Mẫu,,,,,P.Hóa Kị: Cung Phụ Mẫu,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,năm Mão,,TRƯỜNG SINH,,THÁNG 5,năm Mão,,TRƯỜNG SINH,,THÁNG 5,năm Mão,,TRƯỜNG SINH,,THÁNG 5,năm Mão,,TRƯỜNG SINH,,THÁNG 5
